"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SYFL","2017-10-11","143","145","143","145","2.84","220"
"SYFL","2017-10-10","140","141","137","141","0.00","5385"
"SYFL","2017-10-09","145","145","139","141","-4.08","2923"
"SYFL","2017-10-08","147","147","147","147","-2.00","50"
"SYFL","2017-10-04","148","150","148","150","0.00","600"
"SYFL","2017-10-03","150","150","150","150","-0.66","300"
"SYFL","2017-09-26","152","155","149","151","-2.58","5740"
"SYFL","2017-09-25","143","155","143","155","9.93","10112"
"SYFL","2017-09-24","141","141","141","141","0.00","20"
"SYFL","2017-09-18","145","145","141","142","-1.40","1278"
"SYFL","2017-09-17","140","143","140","143","2.14","1639"
"SYFL","2017-09-14","135","140","134","140","2.94","530"
"SYFL","2017-09-12","140","140","136","136","-2.16","2772"
"SYFL","2017-09-11","140","140","139","139","-1.42","1810"
"SYFL","2017-09-10","142","142","140","141","-1.40","690"
"SYFL","2017-09-07","144","144","143","143","-1.38","296"
"SYFL","2017-09-06","144","146","144","145","0.69","359"
"SYFL","2017-09-04","145","149","144","145","-1.37","3388"
"SYFL","2017-08-31","149","149","146","146","-2.01","1950"
"SYFL","2017-08-30","154","154","149","149","-3.25","2630"
"SYFL","2017-08-28","151","154","151","154","0.00","600"
"SYFL","2017-08-27","155","154","154","154","-0.65","1100"
"SYFL","2017-08-24","152","155","154","155","1.97","700"
"SYFL","2017-08-23","149","154","149","152","3.40","3509"
"SYFL","2017-08-22","147","147","147","147","-2.00","10"
"SYFL","2017-08-20","149","151","149","150","-1.32","2002"
"SYFL","2017-08-17","155","155","152","152","-1.93","510"
"SYFL","2017-08-16","155","158","155","155","1.97","174"
"SYFL","2017-08-15","150","153","147","152","-0.65","2423"
"SYFL","2017-08-13","160","160","153","153","-6.13","3190"
"SYFL","2017-08-10","152","163","152","163","5.84","4215"
"SYFL","2017-08-09","154","157","154","154","-0.65","960"
"SYFL","2017-08-07","156","156","155","155","-2.52","1000"
"SYFL","2017-08-06","159","159","159","159","-1.24","345"
"SYFL","2017-08-03","157","161","160","161","2.55","3794"
"SYFL","2017-08-02","158","161","154","157","1.29","5276"
"SYFL","2017-08-01","159","162","155","155","-0.64","1190"
"SYFL","2017-07-31","156","156","153","156","0.00","2005"
"SYFL","2017-07-30","153","156","153","156","0.65","436"
"SYFL","2017-07-26","158","158","155","155","-3.12","608"
"SYFL","2017-07-25","157","160","154","160","1.91","4450"
"SYFL","2017-07-24","159","159","156","157","-1.26","2782"
"SYFL","2017-07-23","165","165","159","159","-1.85","320"
"SYFL","2017-07-20","155","166","155","162","4.52","1480"
"SYFL","2017-07-19","161","161","155","156","-4.91","11450"
"SYFL","2017-07-18","163","168","163","163","1.87","5746"
"SYFL","2017-07-17","159","160","159","160","1.27","599"
"SYFL","2017-07-16","155","158","154","158","1.93","1346"
"SYFL","2017-07-13","154","157","153","155","0.65","7271"
"SYFL","2017-07-12","165","165","154","154","-4.94","1710"
"SYFL","2017-07-11","159","162","159","162","3.85","722"
"SYFL","2017-07-10","158","158","156","156","0.65","120"
"SYFL","2017-07-09","161","159","155","155","-3.73","3050"
"SYFL","2017-07-06","158","162","157","161","0.62","2420"
"SYFL","2017-07-05","161","161","160","160","0.63","600"
"SYFL","2017-07-04","156","159","156","159","2.58","515"
"SYFL","2017-07-03","155","155","155","155","0.00","140"
"SYFL","2017-07-02","158","158","155","158","-1.90","1810"
"SYFL","2017-06-27","155","158","155","158","0.64","1300"
"SYFL","2017-06-25","159","160","157","158","-2.48","4560"
