"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TPC","2022-05-05","432","435","415","420","-4.55","4425"
"TPC","2022-05-04","457","457","432.1","440","-3.72","4950"
"TPC","2022-05-02","459.7","462","450","457","-2.56","3548"
"TPC","2022-04-28","485","495","465.1","469","-1.88","5587"
"TPC","2022-04-27","490","500","471","478","-0.83","5461"
"TPC","2022-04-26","487","496.7","477.4","482","-1.03","1936"
"TPC","2022-04-25","507","512","481.1","487","-3.22","4633"
"TPC","2022-04-24","479.2","516.7","465","503.2","7.09","5851"
"TPC","2022-04-21","480","482.9","447","469.9","-0.86","4278"
"TPC","2022-04-20","494.9","494.9","460.3","474","-6.12","4053"
"TPC","2022-04-19","496.5","505","468.1","504.9","1.02","4383"
"TPC","2022-04-18","503","510","474","499.8","-2.57","5165"
"TPC","2022-04-17","530","535","505","513","-3.21","3288"
"TPC","2022-04-13","535","544","517","530","0.95","4768"
"TPC","2022-04-12","550","550","520.5","525","-4.89","4800"
"TPC","2022-04-11","562","591.9","540","552","-3.14","6384"
"TPC","2022-04-07","556","594","556","569.9","0.51","7998"
"TPC","2022-04-06","565","579","545.1","567","-1.39","4751"
"TPC","2022-04-05","588","599","570","575","-4.01","6453"
"TPC","2022-04-04","591","604.9","580","599","-0.66","2295"
"TPC","2022-04-03","597.8","610","594","603","-1.15","4357"
"TPC","2022-03-31","617.6","629","600","610","-3.17","8470"
"TPC","2022-03-30","582","630","582","630","6.44","9281"
"TPC","2022-03-29","586","610","580.1","591.9","-0.85","4222"
"TPC","2022-03-28","588","605","588","597","-0.33","6347"
"TPC","2022-03-27","612.1","624","588.1","599","-4.01","5763"
"TPC","2022-03-24","628","635","615","624","-1.73","11904"
"TPC","2022-03-23","635","649","632","635","-1.09","3484"
"TPC","2022-03-22","650","665","642","642","-2.13","4745"
"TPC","2022-03-21","647","667","635","656","1.39","5260"
"TPC","2022-03-20","666","666","637","647","-0.92","5075"
"TPC","2022-03-16","652","668","645.1","653","-1.73","7436"
"TPC","2022-03-15","663","674","650","664.5","-0.82","12222"
"TPC","2022-03-14","665","678.2","662","670","1.06","5475"
"TPC","2022-03-13","678.3","690","651","663","-0.30","22443"
"TPC","2022-03-10","643","669","628","665","1.53","22639"
"TPC","2022-03-09","662","665","640","655","-2.96","5760"
"TPC","2022-03-07","666","683.4","657","675","0.15","11784"
"TPC","2022-03-06","670","693","659","674","0.60","9810"
"TPC","2022-03-02","695.1","700","641.3","670","-5.53","17737"
"TPC","2022-02-28","800","800","709.2","709.2","-10.00","25503"
"TPC","2022-02-27","805","812","785","788","-4.02","26449"
"TPC","2022-02-24","809","824","763","821","-0.48","26523"
"TPC","2022-02-23","773.1","825","742.9","825","8.84","39640"
"TPC","2022-02-22","710","780.3","696","758","6.76","24134"
"TPC","2022-02-21","675","728","670","710","4.57","27533"
"TPC","2022-02-20","637.5","687.5","590","679","8.64","49835"
"TPC","2022-02-17","598","642.6","576.3","625","6.47","32814"
"TPC","2022-02-16","600","600","570","587","-2.17","7512"
"TPC","2022-02-15","541.1","600","541.1","600","8.70","5415"
"TPC","2022-02-14","536.1","560","536.1","552","0.91","2717"
"TPC","2022-02-13","573","573","546","547","-6.43","8366"
"TPC","2022-02-10","584","591.6","570","584.6","-1.58","7840"
"TPC","2022-02-09","592.1","603.2","576.2","594","0.32","3959"
"TPC","2022-02-08","624.2","636","589","592.1","0.00","10431"
"TPC","2022-02-07","594.9","637.6","594.9","612","0.82","7990"
"TPC","2022-02-06","630","635","605","607","-4.41","13698"
"TPC","2022-02-03","613","663","613","635","3.93","26223"
"TPC","2022-02-01","605","620","596","611","0.66","10548"
"TPC","2022-01-31","600.1","627","588","607","-0.34","11061"
"TPC","2022-01-30","609.9","617","595.2","609.1","1.86","15837"
"TPC","2022-01-27","575","598","566.5","598","2.75","6338"
"TPC","2022-01-26","585","600","550","582","-1.34","10531"
"TPC","2022-01-25","587.1","610.9","570","589.9","-1.52","11375"
"TPC","2022-01-24","635","645","573.3","599","-5.67","25768"
"TPC","2022-01-23","635.8","652","615","635","-0.13","24095"
"TPC","2022-01-20","578","635.8","557","635.8","10.00","39442"
"TPC","2022-01-19","558","585","542","578","1.58","11092"
"TPC","2022-01-18","540","572.3","531.3","569","4.02","16461"
"TPC","2022-01-17","547.7","547.7","519.4","547","1.86","16720"
"TPC","2022-01-16","513","543","502.8","537","4.68","24382"
"TPC","2022-01-13","505","515","486.1","513","3.43","3810"
"TPC","2022-01-12","515","518","495","496","-4.43","15279"
"TPC","2022-01-11","517","525","505","519","0.39","6316"
"TPC","2022-01-10","512","550.8","501","517","-0.96","7729"
"TPC","2022-01-09","494","530","487.1","522","5.69","15407"
"TPC","2022-01-06","449","493.9","432","493.9","10.00","15247"
"TPC","2022-01-05","431","460","425","449","5.40","11440"
"TPC","2022-01-04","425","430","408.1","426","-0.30","1800"
"TPC","2022-01-03","420","430","415.5","427.3","-0.16","2585"
"TPC","2022-01-02","408","428.9","408","428","3.13","2170"
"TPC","2021-12-29","410.7","422","405","415","-0.95","2891"
"TPC","2021-12-28","407","431","404","419","0.96","3243"
"TPC","2021-12-27","426","434","414","415","-4.47","3090"
"TPC","2021-12-26","430","445","425.1","434.4","1.02","2611"
"TPC","2021-12-23","440","459","425.4","430","-2.93","4101"
"TPC","2021-12-22","424","452","424","443","6.49","6721"
"TPC","2021-12-21","430","438.6","415.1","416","-3.26","7301"
"TPC","2021-12-20","453.9","453.9","420","430","-5.31","3160"
"TPC","2021-12-16","480","490","453.9","454.1","-5.49","3080"
"TPC","2021-12-15","499.2","510","451.5","480.5","-1.84","6477"
"TPC","2021-12-14","445","489.5","437","489.5","10.00","2824"
"TPC","2021-12-13","480.2","489.8","445","445","-9.17","3131"
"TPC","2021-12-12","497","507","461.3","489.9","-3.37","5500"
"TPC","2021-12-09","500","527","500","507","-0.39","3765"
"TPC","2021-12-08","515.1","518","499","509","-3.03","4730"
"TPC","2021-12-07","530","550","515","524.9","-2.78","6517"
"TPC","2021-12-06","539","560","507","539.9","-1.82","6515"
"TPC","2021-12-05","570","570","529.2","549.9","-2.67","5217"
"TPC","2021-12-02","559","570","544","565","-0.88","8735"
"TPC","2021-12-01","585","595","556","570","-2.56","3338"
"TPC","2021-11-30","546","590.9","538","585","7.08","5912"
"TPC","2021-11-29","540","565","538","546.3","-0.33","5680"
"TPC","2021-11-28","558.6","591.6","526","548.1","-3.84","9850"
"TPC","2021-11-25","571","587","569.2","570","-0.87","7276"
"TPC","2021-11-24","590","599.7","554.4","575","-2.21","8705"
"TPC","2021-11-23","588","595","585","588","-2.00","6265"
"TPC","2021-11-22","616","616","590","600","-2.60","14200"
"TPC","2021-11-21","655","655.9","602","616","-4.21","25206"
"TPC","2021-11-18","596.3","643.1","596.3","643.1","9.99","40896"
"TPC","2021-11-17","542.2","584.7","542.2","584.7","9.99","1840"
"TPC","2021-11-16","492.9","531.6","492.9","531.6","9.99","2260"
"TPC","2021-11-15","448.1","483.3","448.1","483.3","9.99","3302"
"TPC","2021-11-14","407.4","439.4","407.4","439.4","9.99","530"
"TPC","2021-11-11","370.4","399.5","370.4","399.5","9.99","309"
"TPC","2021-11-09","336.8","363.2","336.8","363.2","9.99","170"
"TPC","2021-11-08","300.2","330.2","300.2","330.2","9.99","130"
"TPC","2021-11-03","288.7","300.2","288.7","300.2","5.04","40"
"TPC","2021-11-02","274.8","285.8","274.8","285.8","6.05","38"
"TPC","2021-11-01","259.2","269.5","259.2","269.5","3.97","22"
"TPC","2021-10-31","254.2","259.2","254.2","259.2","0.00","20"
