"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TRADING","2022-05-05","2069.37","2091.15","2007.55","2019.87","0.00","5140752.4"
"TRADING","2022-05-04","2112.44","2112.44","2058.91","2069.37","0.00","4005620.6"
"TRADING","2022-05-02","2142.58","2147.28","2103.95","2112.44","0.00","3849104"
"TRADING","2022-04-28","2174.65","2179","2142.57","2142.57","0.00","2886362.1"
"TRADING","2022-04-27","2180.04","2215.75","2141.05","2174.64","0.00","6802044.2"
"TRADING","2022-04-26","2190.63","2236.16","2171.76","2180.03","0.00","3995961"
"TRADING","2022-04-25","2199.73","2243.95","2190.63","2190.63","0.00","4845922"
"TRADING","2022-04-24","2176.93","2232.88","2176.93","2199.72","0.00","14789562.2"
"TRADING","2022-04-21","2195.66","2195.66","2090.2","2176.93","0.00","6787342.5"
"TRADING","2022-04-20","2211.22","2215.69","2176.93","2195.66","0.00","2549379"
"TRADING","2022-04-19","2210.35","2223.83","2158.95","2211.22","0.00","3985946.2"
"TRADING","2022-04-18","2222.14","2224.57","2182.81","2210.34","0.00","2695837"
"TRADING","2022-04-17","2228.53","2260.89","2222.14","2222.14","0.00","2632666"
"TRADING","2022-04-13","2217.69","2248.65","2200.26","2228.52","0.00","7636749.1"
"TRADING","2022-04-12","2258.47","2258.46","2187.19","2217.68","0.00","5270737.6"
"TRADING","2022-04-11","2323.09","2330.26","2257.59","2258.46","0.00","6751877"
"TRADING","2022-04-07","2263.78","2329.11","2227.18","2323.09","0.00","6953688"
"TRADING","2022-04-06","2328.07","2334.59","2260.55","2263.77","0.00","4383058"
"TRADING","2022-04-05","2372.13","2410.89","2299.83","2328.06","0.00","5831593.4"
"TRADING","2022-04-04","2404.32","2411.3","2366.38","2372.12","0.00","3569684"
"TRADING","2022-04-03","2433.24","2433.24","2397.66","2404.31","0.00","4009063.4"
"TRADING","2022-03-31","2415.99","2458.67","2414.08","2433.24","0.00","10225894.9"
"TRADING","2022-03-30","2406.82","2455.12","2394.56","2415.98","0.00","7356052.8"
"TRADING","2022-03-29","2439.28","2455.83","2406.82","2406.82","0.00","15673102.5"
"TRADING","2022-03-28","2467.11","2486.91","2405.74","2407.32","0.00","20196375.8"
"TRADING","2022-03-27","2522.93","2527.5","2465.56","2467.11","0.00","10075847.9"
"TRADING","2022-03-24","2553.57","2553.57","2508.05","2522.93","0.00","6336607.5"
"TRADING","2022-03-23","2540.81","2580.4","2487.46","2553.57","0.00","19759108.1"
"TRADING","2022-03-22","2551.35","2593.71","2524.82","2540.8","0.00","7263230.9"
"TRADING","2022-03-21","2516.1","2551.35","2497.09","2551.35","0.00","6370857"
"TRADING","2022-03-20","2558.04","2597.24","2511.42","2516.1","0.00","6225082.8"
"TRADING","2022-03-16","2594.85","2599.2","2558.04","2558.04","0.00","5620221"
"TRADING","2022-03-15","2622.77","2627.14","2573.98","2594.84","0.00","7964221.1"
"TRADING","2022-03-14","2708.48","2708.48","2504.55","2622.76","0.00","10934800.6"
