"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TRH","2022-05-05","346","350","339","339","-3.69","3580"
"TRH","2022-05-04","349.9","352","338.1","352","0.57","2643"
"TRH","2022-05-02","364.9","365","350","350","-3.31","3164"
"TRH","2022-04-28","365","365","357.7","362","-0.77","2410"
"TRH","2022-04-27","353","364.8","353","364.8","1.90","1410"
"TRH","2022-04-26","364","365","351.1","358","-0.83","1823"
"TRH","2022-04-25","369","369","350","361","-2.27","6655"
"TRH","2022-04-24","353","374.5","347.3","369.4","4.65","2722"
"TRH","2022-04-21","350","353","345","353","-1.07","3419"
"TRH","2022-04-20","358","360","346","356.8","-0.56","3620"
"TRH","2022-04-19","347","358.9","345","358.8","1.41","3575"
"TRH","2022-04-18","359","359","346","353.8","0.23","3135"
"TRH","2022-04-17","370","373","351.3","353","-4.59","7860"
"TRH","2022-04-13","358","370","355.8","370","1.93","3750"
"TRH","2022-04-12","365","369","355.1","363","-0.55","3620"
"TRH","2022-04-11","372","372","360.7","365","-1.88","8592"
"TRH","2022-04-07","369","376","365","372","0.81","11597"
"TRH","2022-04-06","349","370","349","369","3.94","17187"
"TRH","2022-04-05","350","355","344","355","0.00","11222"
"TRH","2022-04-04","358","364.9","352","355","-2.74","5613"
"TRH","2022-04-03","360.7","366","353.5","365","-0.82","2007"
"TRH","2022-03-31","371","371","358","368","0.55","2015"
"TRH","2022-03-30","369.8","369.8","358.1","366","0.66","2795"
"TRH","2022-03-29","355","371.2","348","363.6","1.85","5915"
"TRH","2022-03-28","345","357","345","357","2.00","4968"
"TRH","2022-03-27","355","365","350","350","-2.78","4246"
"TRH","2022-03-24","367","367","360","360","-3.49","3915"
"TRH","2022-03-23","382","382","366","373","-1.03","4620"
"TRH","2022-03-22","377","380","372.5","376.9","-0.03","2760"
"TRH","2022-03-21","370","380","369","377","0.00","6094"
"TRH","2022-03-20","385","385","368.5","377","-2.84","20475"
"TRH","2022-03-16","370.5","393","363.1","388","2.65","50500"
"TRH","2022-03-15","370","389","353","378","3.56","12648"
"TRH","2022-03-14","369","378","365","365","-2.14","4230"
"TRH","2022-03-13","359","375.1","349","373","5.97","18941"
"TRH","2022-03-10","349","352","344","352","0.57","3857"
"TRH","2022-03-09","341","350","340","350","0.60","4105"
"TRH","2022-03-07","343","349","343","347.9","1.43","2021"
"TRH","2022-03-06","350","351","338","343","-1.72","8300"
"TRH","2022-03-02","353.9","353.9","341.1","349","-1.38","3804"
"TRH","2022-02-28","357","363.8","350","353.9","1.11","3400"
"TRH","2022-02-27","362.1","364","343","350","-1.41","8683"
"TRH","2022-02-24","369.2","384","355","355","-1.93","5279"
"TRH","2022-02-23","367.2","381","353.1","362","0.56","1258"
"TRH","2022-02-22","360","369","358","360","-1.37","10924"
"TRH","2022-02-21","366.5","366.5","359.2","365","1.39","345"
"TRH","2022-02-20","365","365","357.5","360","-2.70","3844"
"TRH","2022-02-17","368","371","368","370","0.00","1310"
"TRH","2022-02-16","364.6","370.2","361","370","-0.54","2789"
"TRH","2022-02-15","360.1","372","359","372","2.48","4440"
"TRH","2022-02-14","360.5","364","360","363","-0.55","10180"
"TRH","2022-02-13","371.5","371.5","362.1","365","-3.69","9459"
"TRH","2022-02-10","372.4","380","372.4","379","-0.21","4885"
"TRH","2022-02-09","382","382","374","379.8","-0.78","4477"
"TRH","2022-02-08","387.3","387.3","377","382.8","0.00","13927"
"TRH","2022-02-07","373","383","372","379.8","2.45","6058"
"TRH","2022-02-06","374","375.9","370","370.7","-0.88","7425"
"TRH","2022-02-03","380.4","382","371","374","-0.27","11828"
"TRH","2022-02-01","373","378","372","375","-0.29","2901"
"TRH","2022-01-31","386","386","366","376.1","-0.77","6685"
"TRH","2022-01-30","372.8","379","370.1","379","3.69","6788"
"TRH","2022-01-27","365","372","365","365.5","-1.75","1835"
"TRH","2022-01-26","365.8","372","360","372","0.00","11010"
"TRH","2022-01-25","374","378.8","364.6","372","1.36","5768"
"TRH","2022-01-24","376.5","376.5","365","367","-4.43","12731"
"TRH","2022-01-23","391","393","375","384","-0.78","3440"
"TRH","2022-01-20","377.3","392","371","387","0.52","3409"
"TRH","2022-01-19","396","396","382.2","385","-2.28","2871"
"TRH","2022-01-18","381","409.5","381","394","1.81","24960"
"TRH","2022-01-17","388","399.8","382","387","-1.28","7909"
"TRH","2022-01-16","378","398","382","392","3.70","15175"
"TRH","2022-01-13","375","400","372.5","378","1.48","5578"
"TRH","2022-01-12","382.2","394","371","372.5","-4.49","6550"
"TRH","2022-01-11","370","397.8","370","390","4.56","23876"
