"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UIC","2022-05-05","524.3","534","515","520","-2.80","5730"
"UIC","2022-05-04","540","555","520","535","-2.37","6456"
"UIC","2022-05-02","570.9","570.9","535.2","548","-2.13","7301"
"UIC","2022-04-28","581.4","588.5","551","559.9","-1.77","12654"
"UIC","2022-04-27","578.3","578.3","556","570","0.53","2032"
"UIC","2022-04-26","580","580","550","567","-0.32","3076"
"UIC","2022-04-25","595.6","601.8","560","568.8","-2.60","11670"
"UIC","2022-04-24","574.2","585.6","553","584","3.73","10545"
"UIC","2022-04-21","565","565","528.3","563","1.62","8473"
"UIC","2022-04-20","592.4","592.4","554","554","-4.61","4725"
"UIC","2022-04-19","581","581","547.5","580.8","1.89","9954"
"UIC","2022-04-18","593","593","558.6","570","-1.99","7400"
"UIC","2022-04-17","605","605","570.4","581.6","-2.09","6123"
"UIC","2022-04-13","580","594","569","594","2.95","4757"
"UIC","2022-04-12","606.9","606.9","577","577","-3.03","13887"
"UIC","2022-04-11","625","637.5","585","595","-2.94","8129"
"UIC","2022-04-07","618","618","600","613","0.16","3315"
"UIC","2022-04-06","618.8","618.8","595","612","-0.08","7761"
"UIC","2022-04-05","612.1","626","595","612.5","-1.84","35775"
"UIC","2022-04-04","628","649","618","624","-2.50","27296"
"UIC","2022-04-03","673.2","673.2","637","640","-3.03","5887"
"UIC","2022-03-31","678","678","648","660","-1.05","9272"
"UIC","2022-03-30","666","668","649","667","1.60","13380"
"UIC","2022-03-29","667","667","638","656.5","0.38","11013"
"UIC","2022-03-28","680.3","680.3","654","654","-1.95","17866"
"UIC","2022-03-27","687.4","725","667","667","-1.04","119270"
"UIC","2022-03-24","682.3","682.3","657","674","0.75","33816"
"UIC","2022-03-23","680","680","663.1","669","-1.04","11538"
"UIC","2022-03-22","679.3","679.3","663","676","1.50","19244"
"UIC","2022-03-21","673","673","659","666","0.91","12670"
"UIC","2022-03-20","675.2","675.2","654","660","-0.30","9110"
"UIC","2022-03-16","679.3","679.3","655","662","-0.60","20948"
"UIC","2022-03-15","672.1","672.1","647","666","1.06","11794"
"UIC","2022-03-14","675.6","675.6","650","659","-0.51","9468"
"UIC","2022-03-13","648.7","664.9","640","662.4","4.15","15989"
"UIC","2022-03-10","615","637","614.6","636","1.42","9553"
"UIC","2022-03-09","634.9","647.5","600","627.1","-1.23","32956"
"UIC","2022-03-07","632.4","640","619.9","634.9","2.40","9139"
"UIC","2022-03-06","637.5","663","620","620","-0.80","10716"
"UIC","2022-03-02","656.8","656.8","622.4","625","-2.95","8997"
"UIC","2022-02-28","670.1","670.1","637","644","-1.98","11984"
"UIC","2022-02-27","673.2","673.2","650.1","657","-0.45","8328"
"UIC","2022-02-24","681.3","681.3","643","660","-1.20","13473"
"UIC","2022-02-23","699.7","699.7","667","668","-2.62","12453"
"UIC","2022-02-22","693.4","693.4","669.4","686","0.90","12093"
"UIC","2022-02-21","692","705","670","679.9","0.13","11636"
"UIC","2022-02-20","726.2","726.2","671","679","-4.63","37442"
"UIC","2022-02-17","712","712","686","712","1.86","8877"
"UIC","2022-02-16","666.4","727","666.4","699","2.79","195787"
"UIC","2022-02-15","687","690","668.6","680","0.74","51253"
"UIC","2022-02-14","670","690","667","675","-0.74","29060"
"UIC","2022-02-13","688","701","672.3","680","-2.86","37926"
"UIC","2022-02-10","719","724","696","700","-0.74","11700"
"UIC","2022-02-09","714","724","702","705.2","-1.23","11098"
"UIC","2022-02-08","726.2","730.9","710","714","0.00","23175"
"UIC","2022-02-07","698.1","719","698.1","712","0.64","38889"
"UIC","2022-02-06","716","716","707.1","707.5","-2.82","15926"
"UIC","2022-02-03","743","743","721","728","-0.11","26747"
"UIC","2022-02-01","724","732","717","728.8","0.66","30964"
"UIC","2022-01-31","727.9","730","716.1","724","-0.82","19028"
"UIC","2022-01-30","715","743","715","730","3.11","12521"
"UIC","2022-01-27","716","729.9","702","708","0.85","12523"
"UIC","2022-01-26","713","715","698","702","-2.16","25716"
"UIC","2022-01-25","716","738","716","717.5","-1.44","25774"
"UIC","2022-01-24","729","738","715","728","-1.90","53452"
"UIC","2022-01-23","750","755","741","742.1","0.56","49938"
"UIC","2022-01-20","716","746.8","707","738","3.06","48535"
"UIC","2022-01-19","738","738","715","716.1","-1.23","23408"
"UIC","2022-01-18","739.9","742.9","722","725","-1.49","22639"
"UIC","2022-01-17","753","753","726.2","736","-0.67","42751"
"UIC","2022-01-16","728","753","737","741","1.79","74873"
"UIC","2022-01-13","715","735","711","728","1.82","26290"
"UIC","2022-01-12","735","747.8","698","715","-2.72","54633"
"UIC","2022-01-11","726","745.6","715.2","735","3.09","53575"
"UIC","2022-01-10","684","716","678","713","4.24","52603"
"UIC","2022-01-09","678","699","677.1","684","2.86","22549"
"UIC","2022-01-06","645","671","644.9","665","1.06","9190"
"UIC","2022-01-05","670","670","650","658","-1.79","13825"
"UIC","2022-01-04","658.1","680","653.7","670","0.45","8633"
"UIC","2022-01-03","694.3","694.3","667","667","-2.03","17222"
"UIC","2022-01-02","669","688.5","656","680.8","3.67","20938"
"UIC","2021-12-29","668","672","645","656.7","0.26","16635"
"UIC","2021-12-28","647.1","659.9","635.1","655","-0.76","12281"
"UIC","2021-12-27","695","714","650","660","-3.23","46547"
"UIC","2021-12-26","625","682","625","682","10.00","40975"
"UIC","2021-12-23","607","642","598","620","3.68","20554"
"UIC","2021-12-22","586.9","618","586.8","598","3.82","12763"
"UIC","2021-12-21","576","580","560","576","1.95","8284"
"UIC","2021-12-20","570","581","565","565","-1.74","4976"
"UIC","2021-12-16","609.9","609.9","575","575","-3.85","4306"
"UIC","2021-12-15","601.8","630","590","598","1.36","11197"
"UIC","2021-12-14","578.3","590","578.3","590","4.06","6290"
"UIC","2021-12-13","578","580","550","567","-3.57","16076"
"UIC","2021-12-12","601.1","609","588","588","-5.01","10766"
"UIC","2021-12-09","604","639","603","619","0.67","4927"
"UIC","2021-12-08","620","626","605","614.9","-2.40","13033"
"UIC","2021-12-07","665","670","630","630","-3.37","7838"
"UIC","2021-12-06","625","653","610","652","2.35","17933"
"UIC","2021-12-05","667","667","617.4","637","-2.75","10859"
"UIC","2021-12-02","688","688","648","655","-3.14","13935"
"UIC","2021-12-01","700","714","676.2","676.2","-3.40","8487"
"UIC","2021-11-30","691","705","669","700","3.24","11841"
"UIC","2021-11-29","690","708","677","678","-1.17","7204"
"UIC","2021-11-28","705","716","685.1","686","-4.59","20774"
"UIC","2021-11-25","746","746","719","719","-2.84","19517"
"UIC","2021-11-24","714.1","740","706","740","1.66","12236"
"UIC","2021-11-23","722.1","735","719.1","727.9","-0.97","28791"
"UIC","2021-11-22","721","742","721","735","1.38","33753"
"UIC","2021-11-21","739","739","717","725","0.00","7557"
"UIC","2021-11-18","718","749","715","725","-0.55","47645"
"UIC","2021-11-17","755","755","726.5","729","-2.54","47691"
"UIC","2021-11-16","710","750","710","748","5.06","28276"
"UIC","2021-11-15","720","734","700","712","0.42","17040"
"UIC","2021-11-14","707","718","694.1","709","0.11","21683"
"UIC","2021-11-11","696.1","719","690","708.2","-0.11","26538"
"UIC","2021-11-09","766","766","695","709","-5.59","60586"
"UIC","2021-11-08","775","775.2","741.1","751","-1.18","18575"
"UIC","2021-11-03","784","788","752.7","760","-1.81","30411"
"UIC","2021-11-02","735","785","731","774","4.88","59598"
"UIC","2021-11-01","739.3","756","727.1","738","1.81","110583"
"UIC","2021-10-31","659","724.9","659","724.9","10.00","49058"
"UIC","2021-10-28","642","679.3","640","659","0.76","9656"
"UIC","2021-10-27","617.5","680","617.5","654","3.81","25028"
"UIC","2021-10-26","613","633.4","612","630","4.83","18566"
"UIC","2021-10-25","575","601","575","601","4.89","13969"
"UIC","2021-10-24","558.6","575","546","573","0.53","4004"
