"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ULI","2022-05-05","553","553","532.4","535","-3.25","15399"
"ULI","2022-05-04","551.1","566.1","550","553","-1.60","15336"
"ULI","2022-05-02","590","590","562","562","-4.76","13653"
"ULI","2022-04-28","600","612","589.2","590.1","-2.46","17425"
"ULI","2022-04-27","610.9","623","587.1","605","1.00","12612"
"ULI","2022-04-26","605","612","591","599","-1.48","13166"
"ULI","2022-04-25","625","635","607","608","-3.95","17134"
"ULI","2022-04-24","622","640","609.9","633","2.10","20675"
"ULI","2022-04-21","591","624","585","620","4.03","9678"
"ULI","2022-04-20","615","616","596","596","-3.09","13573"
"ULI","2022-04-19","588.8","620.9","588.8","615","2.36","19838"
"ULI","2022-04-18","620","620","600.8","600.8","-4.03","34014"
"ULI","2022-04-17","668","668","622","626","-5.02","37611"
"ULI","2022-04-13","653","675","650","659.1","-1.04","25203"
"ULI","2022-04-12","682.9","686","661.5","666","-2.49","36869"
"ULI","2022-04-11","718","725","678","683","-3.11","33858"
"ULI","2022-04-07","676","707","676","704.9","3.66","41483"
"ULI","2022-04-06","675.1","694.5","675","680","-1.16","29513"
"ULI","2022-04-05","704.9","705","682.1","688","-2.54","37544"
"ULI","2022-04-04","720","720","703.1","705.9","-1.69","28177"
"ULI","2022-04-03","701","725","701","718","1.27","44507"
"ULI","2022-03-31","700.2","715","694","709","1.27","68478"
"ULI","2022-03-30","681","710","673","700.1","2.80","50666"
"ULI","2022-03-29","670","682","657","681","2.02","21246"
"ULI","2022-03-28","690","703","667","667.5","-3.26","42291"
"ULI","2022-03-27","703.8","746","685","690","0.00","176805"
"ULI","2022-03-24","652.1","700","652.1","690","3.93","53533"
"ULI","2022-03-23","651","665","651","663.9","-0.02","8913"
"ULI","2022-03-22","662","670","650","664","0.30","9586"
"ULI","2022-03-21","640","666","640","662","1.53","8395"
"ULI","2022-03-20","660","673","648","652","-1.21","19174"
"ULI","2022-03-16","652","668","650.1","660","-0.75","22583"
"ULI","2022-03-15","662","668","650","665","0.59","18063"
"ULI","2022-03-14","665","677","640","661.1","-0.57","6298"
"ULI","2022-03-13","642.8","671","631.1","664.9","5.51","27846"
"ULI","2022-03-10","620","630.2","595.1","630.2","3.67","11892"
"ULI","2022-03-09","596","610","591.1","607.9","1.33","6380"
"ULI","2022-03-07","593","609","588","599.9","-0.68","10041"
"ULI","2022-03-06","601","610","593","604","-0.98","11688"
"ULI","2022-03-02","632.4","632.4","599","610","-1.61","11000"
"ULI","2022-02-28","650","650","611","620","-3.28","17866"
"ULI","2022-02-27","638","650","636","641","-1.23","6591"
"ULI","2022-02-24","654","660.1","645","649","-2.70","15690"
"ULI","2022-02-23","670","674","661","667","-0.45","8032"
"ULI","2022-02-22","660.1","678","660.1","670","0.30","9587"
"ULI","2022-02-21","660","670","660","668","1.17","11318"
"ULI","2022-02-20","672","678","658.6","660.3","-3.58","25355"
"ULI","2022-02-17","666","688","666","684.8","0.85","15970"
"ULI","2022-02-16","688","690","675.1","679","-1.31","14785"
"ULI","2022-02-15","667","688","665.2","688","3.15","9095"
"ULI","2022-02-14","677","685","666","667","-1.48","10458"
"ULI","2022-02-13","686","694.9","661","677","-3.29","42222"
"ULI","2022-02-10","690","705","689","700","0.00","18200"
"ULI","2022-02-09","705","710","696.1","700","-1.82","31129"
"ULI","2022-02-08","738.4","738.4","706","713","0.00","39016"
"ULI","2022-02-07","702","725","702","724","1.26","41351"
"ULI","2022-02-06","718","724","707","715","-0.69","45891"
"ULI","2022-02-03","715","734","713","720","1.12","108631"
"ULI","2022-02-01","706","719","692.2","712","0.85","46870"
"ULI","2022-01-31","712","720","698.3","706","-0.84","41005"
"ULI","2022-01-30","690","718","690","712","4.40","68847"
"ULI","2022-01-27","682","697","675","682","-0.29","13580"
"ULI","2022-01-26","681","694.6","672.5","684","-0.58","20211"
"ULI","2022-01-25","679","715","672","688","1.47","48467"
"ULI","2022-01-24","700","704","678","678","-3.42","54635"
"ULI","2022-01-23","705","718","697","702","-0.14","73672"
"ULI","2022-01-20","675","706.8","675","703","2.30","43600"
"ULI","2022-01-19","691","703","686","687.2","-1.83","32239"
"ULI","2022-01-18","705","710","686","700","-0.71","41003"
"ULI","2022-01-17","714","725","693","705","-1.26","46044"
"ULI","2022-01-16","700","724","690","714","2.00","70653"
"ULI","2022-01-13","683","700.2","680","700","2.47","30465"
"ULI","2022-01-12","718","718","680","683.1","-3.79","57716"
"ULI","2022-01-11","670","718","662","710","5.34","99537"
"ULI","2022-01-10","667","692","663","674","-0.77","38613"
"ULI","2022-01-09","674","679.2","662","679.2","2.75","36047"
"ULI","2022-01-06","635.1","683","635.1","661","2.16","40322"
"ULI","2022-01-05","646","672","646","647","-1.82","22432"
"ULI","2022-01-04","668","682","643","659","-0.15","32775"
"ULI","2022-01-03","660","672","641","660","1.38","33079"
"ULI","2022-01-02","621","651.6","618","651","3.66","26846"
"ULI","2021-12-29","629.9","635","619.3","628","-0.32","14648"
