"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UMB","2019-07-25","885","885","861","878","1.04","72"
"UMB","2019-07-24","845","869","845","869","2.24","952"
"UMB","2019-07-23","841","857","841","850","-0.93","366"
"UMB","2019-07-21","876","876","840","858","-0.23","232"
"UMB","2019-07-18","860","860","860","860","0.47","50"
"UMB","2019-07-17","815","856","815","856","7.00","156"
"UMB","2019-07-16","800","800","792","800","-0.62","114"
"UMB","2019-07-15","800","816","800","805","-0.62","44"
"UMB","2019-07-14","810","810","810","810","1.63","12"
"UMB","2019-07-11","797","797","791","797","-1.97","34"
"UMB","2019-07-10","805","813","799","813","0.74","82"
"UMB","2019-07-09","807","823","807","807","-1.94","260"
"UMB","2019-07-08","839","839","823","823","-0.84","53"
"UMB","2019-07-04","832","832","816","830","-0.24","414"
"UMB","2019-07-03","816","832","801","832","3.35","86"
"UMB","2019-07-02","804","806","804","805","-1.83","232"
"UMB","2019-07-01","797","825","797","820","2.76","134"
"UMB","2019-06-30","814","814","798","798","-3.86","104"
"UMB","2019-06-27","830","830","830","830","-0.12","36"
"UMB","2019-06-26","815","831","812","831","1.71","178"
"UMB","2019-06-25","817","817","810","817","2.00","199"
"UMB","2019-06-24","823","829","801","801","-4.53","50"
"UMB","2019-06-23","850","850","839","839","-3.23","80"
"UMB","2019-06-20","834","867","818","867","1.88","120"
"UMB","2019-06-19","814","851","806","851","6.51","410"
"UMB","2019-06-18","785","799","780","799","3.50","181"
"UMB","2019-06-17","784","784","760","772","-3.50","256"
"UMB","2019-06-16","805","805","775","800","-2.56","616"
"UMB","2019-06-13","840","840","821","821","-3.64","1096"
"UMB","2019-06-12","874","874","825","852","-4.38","420"
"UMB","2019-06-11","897","900","890","891","-0.45","270"
"UMB","2019-06-06","950","950","940","940","-2.79","20"
"UMB","2019-06-04","967","968","967","967","0.00","173"
"UMB","2019-06-03","970","970","965","967","-1.33","240"
"UMB","2019-06-02","1000","1015","980","980","-3.45","140"
"UMB","2019-05-30","1020","1020","1010","1015","1.50","80"
"UMB","2019-05-29","1019","1019","1000","1000","-2.91","1010"
"UMB","2019-05-28","1030","1030","1030","1030","-0.87","10"
"UMB","2019-05-27","1040","1040","1039","1039","-1.98","100"
"UMB","2019-05-26","1060","1061","1050","1060","-1.40","170"
"UMB","2019-05-23","1075","1075","1075","1075","0.00","10"
"UMB","2019-05-22","1081","1081","1040","1075","-2.18","695"
"UMB","2019-05-21","1091","1112","1091","1099","0.83","275"
"UMB","2019-05-20","1119","1122","1090","1090","-4.39","440"
"UMB","2019-05-19","1186","1186","1140","1140","0.88","70"
"UMB","2019-05-16","1151","1151","1128","1130","-3.75","60"
"UMB","2019-05-15","1195","1195","1152","1174","-1.34","210"
"UMB","2019-05-14","1190","1190","1190","1190","0.00","20"
"UMB","2019-05-13","1190","1190","1167","1190","1.36","170"
"UMB","2019-05-12","1178","1200","1152","1174","1.65","210"
"UMB","2019-05-09","1125","1155","1125","1155","1.32","130"
"UMB","2019-05-08","1162","1162","1139","1140","0.00","30"
"UMB","2019-05-07","1105","1140","1105","1140","1.42","40"
"UMB","2019-05-06","1124","1124","1124","1124","-1.83","10"
"UMB","2019-05-05","1132","1145","1132","1145","-0.69","90"
"UMB","2019-05-02","1176","1176","1153","1153","-3.92","70"
"UMB","2019-04-30","1190","1200","1190","1200","0.25","76"
"UMB","2019-04-29","1197","1197","1197","1197","1.87","20"
"UMB","2019-04-28","1135","1175","1135","1175","2.00","260"
"UMB","2019-04-25","1152","1152","1152","1152","-1.96","100"
"UMB","2019-04-24","1198","1175","1175","1175","0.00","2"
"UMB","2019-04-23","1100","1175","1100","1175","4.91","580"
"UMB","2019-04-22","1120","1120","1120","1120","-0.97","10"
"UMB","2019-04-21","1120","1140","1120","1131","1.62","50"
"UMB","2019-04-18","1113","1113","1113","1113","-1.94","30"
"UMB","2019-04-17","1120","1135","1120","1135","1.34","240"
"UMB","2019-04-16","1104","1126","1104","1120","1.45","130"
"UMB","2019-04-15","1120","1120","1104","1104","-1.52","110"
"UMB","2019-04-11","1130","1130","1121","1121","-1.67","130"
"UMB","2019-04-10","1183","1183","1120","1140","-5.55","50"
"UMB","2019-04-09","1162","1208","1162","1207","5.88","60"
"UMB","2019-04-08","1120","1140","1134","1140","1.79","240"
"UMB","2019-04-07","1125","1125","1120","1120","-2.10","70"
"UMB","2019-04-04","1130","1144","1123","1144","0.00","80"
"UMB","2019-04-02","1150","1150","1127","1144","-2.31","174"
"UMB","2019-04-01","1130","1171","1125","1171","1.83","330"
"UMB","2019-03-31","1150","1150","1150","1150","1.23","10"
"UMB","2019-03-28","1131","1136","1131","1136","-1.22","40"
"UMB","2019-03-27","1170","1170","1150","1150","-1.71","40"
"UMB","2019-03-26","1150","1170","1134","1170","1.56","60"
"UMB","2019-03-25","1152","1152","1152","1152","-1.96","10"
"UMB","2019-03-24","1199","1199","1175","1175","-2.08","390"
"UMB","2019-03-21","1244","1244","1200","1200","-5.44","120"
"UMB","2019-03-17","1269","1269","1269","1269","1.93","10"
"UMB","2019-03-14","1245","1245","1245","1245","-0.32","20"
"UMB","2019-03-13","1270","1274","1249","1249","-1.65","110"
"UMB","2019-03-12","1245","1270","1245","1270","2.01","160"
"UMB","2019-03-11","1250","1275","1225","1245","-2.35","50"
"UMB","2019-03-07","1260","1275","1240","1275","2.82","845"
"UMB","2019-03-06","1216","1240","1216","1240","0.00","40"
"UMB","2019-03-05","1230","1240","1230","1240","0.81","120"
"UMB","2019-03-03","1230","1240","1230","1230","-0.81","10"
"UMB","2019-02-27","1240","1245","1231","1240","0.73","445"
"UMB","2019-02-26","1255","1257","1231","1231","-1.91","140"
"UMB","2019-02-25","1250","1255","1231","1255","1.95","170"
"UMB","2019-02-24","1245","1270","1211","1231","-3.07","160"
"UMB","2019-02-21","1297","1297","1255","1270","-0.47","330"
"UMB","2019-02-20","1290","1295","1276","1276","-1.47","130"
"UMB","2019-02-19","1250","1295","1250","1295","3.60","425"
"UMB","2019-02-18","1250","1270","1250","1250","-1.19","358"
