"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UMRH","2022-05-05","775.7","789.9","725.2","759.9","-3.99","6151"
"UMRH","2022-05-04","815.4","840","761","791.5","-4.87","1750"
"UMRH","2022-05-02","824.2","832","813.4","832","-1.07","1908"
"UMRH","2022-04-28","865","879.2","841","841","-1.87","3875"
"UMRH","2022-04-27","850","872","846.3","857","-0.23","1122"
"UMRH","2022-04-26","877.1","877.1","845","859","-4.02","1872"
"UMRH","2022-04-25","901","915","865","895","-2.61","3473"
"UMRH","2022-04-24","854.9","919","828.1","919","8.76","5958"
"UMRH","2022-04-21","885","888","824","845","-3.09","4387"
"UMRH","2022-04-20","861","871.9","844","871.9","-0.69","620"
"UMRH","2022-04-19","860.4","885","843.2","878","0.01","2067"
"UMRH","2022-04-18","919.4","919.4","833.3","877.9","-2.67","4970"
"UMRH","2022-04-17","965.9","978","856","902","-4.85","12099"
"UMRH","2022-04-13","987","987","880","948","-2.08","15222"
"UMRH","2022-04-12","974.2","998","950","968.1","-2.61","14686"
"UMRH","2022-04-11","1015","1015","982","994","-2.07","8762"
"UMRH","2022-04-07","980","1025","980","1015","1.50","5406"
"UMRH","2022-04-06","966","1020","966","1000","2.30","5090"
"UMRH","2022-04-05","1019.2","1019.2","966","977.5","-6.01","6702"
"UMRH","2022-04-04","1070","1070","999.6","1040","-3.35","6498"
"UMRH","2022-04-03","1110.4","1115","1054","1076.1","-5.02","28883"
"UMRH","2022-03-31","1040","1150","992","1133","7.90","7525"
"UMRH","2022-03-30","986","1084.6","970.1","1050","6.49","8865"
"UMRH","2022-03-29","977.1","1004","965.3","986","-1.00","26976"
"UMRH","2022-03-28","1000","1020","990","996","-0.40","9588"
"UMRH","2022-03-27","980.1","1023","980","1000","0.40","14588"
"UMRH","2022-03-24","924.1","996.6","922","996","9.93","31504"
"UMRH","2022-03-23","880","958.8","880","906","2.37","19191"
"UMRH","2022-03-22","850.7","920","850.7","885","1.96","18364"
"UMRH","2022-03-21","851","882.2","850.7","868","0.00","8202"
"UMRH","2022-03-20","882.5","899","848","868","0.32","7728"
"UMRH","2022-03-16","910","910","863.6","865.2","-4.92","6270"
"UMRH","2022-03-15","876","918.9","851","910","5.81","8268"
"UMRH","2022-03-14","877.1","877.2","853","860","-3.91","1580"
"UMRH","2022-03-13","881.1","900.6","855","895","-0.44","8981"
"UMRH","2022-03-10","818.4","899","806","899","7.66","7715"
"UMRH","2022-03-09","859","859","814.1","835","-3.91","12760"
"UMRH","2022-03-07","890","890","850","869","-3.23","4502"
"UMRH","2022-03-06","880","923.1","877","898","2.05","10143"
"UMRH","2022-03-02","943","950","855","880","-6.68","58873"
"UMRH","2022-02-28","1020","1020","930","943","-5.72","76116"
"UMRH","2022-02-27","1008","1008","1000","1000.2","-0.97","25954"
"UMRH","2022-02-24","1011","1011","971.2","1010","-0.01","66050"
"UMRH","2022-02-23","936.6","1010.1","936.6","1010.1","10.00","43111"
"UMRH","2022-02-22","851","918.3","850","918.3","9.99","27337"
"UMRH","2022-02-21","774.1","834.9","759","834.9","10.00","62546"
"UMRH","2022-02-20","676.2","759","668","759","10.00","58815"
"UMRH","2022-02-17","636.1","690.5","636.1","690","6.32","50696"
"UMRH","2022-02-16","673","673","630","649","-1.67","2990"
"UMRH","2022-02-15","620","665","616","660","5.10","6027"
"UMRH","2022-02-14","629","630","612.1","628","1.29","4355"
"UMRH","2022-02-13","648","648","611","620","-6.06","9136"
"UMRH","2022-02-10","640.2","675","640.2","660","1.54","22386"
"UMRH","2022-02-09","647","660","635","650","-1.07","20809"
"UMRH","2022-02-08","678.3","690","648","657","0.00","32991"
"UMRH","2022-02-07","627.2","670","627.2","665","3.91","20470"
"UMRH","2022-02-06","646.8","646.8","620","640","-3.03","30913"
"UMRH","2022-02-03","655","673","649","660","2.33","44861"
