"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UNHPL","2022-05-05","240.1","247.6","225","229","-6.53","38048"
"UNHPL","2022-05-04","255","255","235.3","245","-5.77","46091"
"UNHPL","2022-05-02","279.3","280","256.5","260","-8.77","143358"
"UNHPL","2022-04-28","289","294","279.4","285","-1.38","7732"
"UNHPL","2022-04-27","285","292.7","280","289","-0.34","7637"
"UNHPL","2022-04-26","289","295.1","278","290","-1.39","7401"
"UNHPL","2022-04-25","299","306","284.2","294.1","-0.31","15281"
"UNHPL","2022-04-24","278","300.3","265","295","8.06","21030"
"UNHPL","2022-04-21","275","276","252","273","-0.73","7969"
"UNHPL","2022-04-20","287","292","274","275","-6.05","10006"
"UNHPL","2022-04-19","290","292.7","275","292.7","2.70","9349"
"UNHPL","2022-04-18","291","291","274.4","285","-2.73","9605"
"UNHPL","2022-04-17","311.1","311.1","293","293","-3.93","3567"
"UNHPL","2022-04-13","290.1","312.1","289.1","305","3.42","7830"
"UNHPL","2022-04-12","300","300","289.1","294.9","-0.71","11841"
"UNHPL","2022-04-11","315","317","295","297","-3.88","8781"
"UNHPL","2022-04-07","311","312","300","309","1.31","10661"
"UNHPL","2022-04-06","312","317","304.5","305","-2.87","7694"
"UNHPL","2022-04-05","316","320","310","314","-2.18","6328"
"UNHPL","2022-04-04","323","327","319.1","321","-1.23","4230"
"UNHPL","2022-04-03","327","327","320.5","325","-0.61","4951"
"UNHPL","2022-03-31","342","345","326.1","327","-4.39","7350"
"UNHPL","2022-03-30","330","343","323.6","342","5.39","11956"
"UNHPL","2022-03-29","326","326","314","324.5","1.37","9580"
"UNHPL","2022-03-28","332","338","320","320.1","-1.81","9710"
"UNHPL","2022-03-27","344","345","325","326","-3.83","11883"
"UNHPL","2022-03-24","345","351","339","339","-2.87","13950"
"UNHPL","2022-03-23","351.9","363.9","348","349","-2.79","9032"
"UNHPL","2022-03-22","367","367","357","359","-0.28","8642"
"UNHPL","2022-03-21","347","366","340","360","5.57","20902"
"UNHPL","2022-03-20","353","353","340.2","341","-1.76","8763"
"UNHPL","2022-03-16","355","355","341","347.1","-2.17","6041"
"UNHPL","2022-03-15","360","361","347","354.8","-1.17","6842"
"UNHPL","2022-03-14","360","365","350","359","-0.28","5980"
"UNHPL","2022-03-13","355","368","352","360","3.15","20008"
"UNHPL","2022-03-10","325","349","321","349","7.38","11187"
"UNHPL","2022-03-09","347","347","324","325","-4.69","6533"
"UNHPL","2022-03-07","350","355","340","341","-1.45","7963"
"UNHPL","2022-03-06","355","360.4","343","346","-1.14","13796"
"UNHPL","2022-03-02","361","365","350","350","-4.89","17122"
"UNHPL","2022-02-28","387.6","395.3","365.6","368","-3.16","31065"
"UNHPL","2022-02-27","375.1","383","368","380","2.70","24675"
"UNHPL","2022-02-24","380","392.7","365","370","-3.90","28490"
"UNHPL","2022-02-23","386.7","400","380","385","1.53","31606"
"UNHPL","2022-02-22","384","391.6","379.2","379.2","-0.47","11286"
"UNHPL","2022-02-21","381","387","370","381","1.87","13505"
"UNHPL","2022-02-20","362.6","382","348.3","374","1.08","27683"
"UNHPL","2022-02-17","369.1","385","369.1","370","-1.33","12546"
"UNHPL","2022-02-16","392","392.7","368","375","-2.60","14579"
"UNHPL","2022-02-15","375","390","370.2","385","4.34","14530"
"UNHPL","2022-02-14","372","384.9","365.2","369","1.10","17516"
"UNHPL","2022-02-13","384","384","357","365","-5.93","48119"
"UNHPL","2022-02-10","390","393","385.4","388","-0.74","17186"
"UNHPL","2022-02-09","393","397","385","390.9","-0.41","19291"
"UNHPL","2022-02-08","411","427.5","390.1","392.5","0.00","33315"
"UNHPL","2022-02-07","398.9","406.9","395","403","1.00","25142"
"UNHPL","2022-02-06","402","405.1","391","399","-2.21","31548"
"UNHPL","2022-02-03","411","423","406.3","408","-0.24","93603"
"UNHPL","2022-02-01","385","415","384","409","4.87","70828"
