"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UNL","2022-05-05","18600","18600","18600","18600","-1.85","10"
"UNL","2022-05-04","18950","18950","18950","18950","0.00","10"
"UNL","2022-04-28","18914","18950","18600","18950","-1.81","60"
"UNL","2022-04-27","19299","19299","19299","19299","1.57","10"
"UNL","2022-04-26","19000","19000","19000","19000","1.60","10"
"UNL","2022-04-25","18700","18700","18700","18700","1.62","10"
"UNL","2022-04-21","18700","18700","18402","18402","-1.59","30"
"UNL","2022-04-19","18424","18700","18424","18700","-0.53","20"
"UNL","2022-04-18","18800","18800","18800","18800","-1.57","20"
"UNL","2022-04-17","19140","19140","19100","19100","-0.25","40"
"UNL","2022-04-13","19000","19147","19000","19147","2.00","30"
"UNL","2022-04-12","18718","18772","18404","18772","-1.72","40"
"UNL","2022-04-11","19398","19398","19100","19100","-1.54","110"
"UNL","2022-04-07","19377","19398","19377","19398","0.11","60"
"UNL","2022-04-06","19100","19377","19100","19377","1.45","29"
"UNL","2022-04-05","18800","19100","18800","19100","3.23","40"
"UNL","2022-04-03","18718","18718","18502","18502","-3.13","20"
"UNL","2022-03-31","19100","19100","19100","19100","0.52","10"
"UNL","2022-03-30","19002","19002","19002","19002","-1.95","10"
"UNL","2022-03-27","19379.9","19379.9","19379.9","19379.9","2.00","10"
"UNL","2022-03-24","19200","19200","19000","19000","-0.52","20"
"UNL","2022-03-23","19105","19105","19100","19100","-1.80","80"
"UNL","2022-03-20","19500","19500","19450","19450","-0.26","30"
"UNL","2022-03-16","19800","19800","19500","19500","0.00","45"
"UNL","2022-03-14","19500","19500","19500","19500","0.62","10"
"UNL","2022-03-13","19173.9","19449","18800","19380","1.07","80"
"UNL","2022-03-10","18798","19173.9","18798","19173.9","3.09","80"
"UNL","2022-03-09","18600","18600","18600","18600","0.74","10"
"UNL","2022-03-07","18400","18463","18400","18463","2.00","30"
"UNL","2022-03-06","18500","18500","18101","18101","-1.25","30"
"UNL","2022-03-02","18500","18500","18331","18331","-1.97","30"
