"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPCL","2022-05-05","233","240","224.9","226","-3.75","71251"
"UPCL","2022-05-04","243","248.8","232","234.8","-2.98","46306"
"UPCL","2022-05-02","252","256","237.2","242","-5.47","72614"
"UPCL","2022-04-28","264","267.1","254.9","256","-1.54","52749"
"UPCL","2022-04-27","260","263.8","252","260","0.00","58714"
"UPCL","2022-04-26","260","271","254","260","-0.76","50000"
"UPCL","2022-04-25","267","281","250","262","0.08","135007"
"UPCL","2022-04-24","242.7","261.8","238","261.8","10.00","99403"
"UPCL","2022-04-21","240","243.2","228","238","-0.21","59319"
"UPCL","2022-04-20","249","256.9","237.5","238.5","-3.83","54105"
"UPCL","2022-04-19","252","262.1","239","248","-0.12","75744"
"UPCL","2022-04-18","258.8","264.4","247","248.3","-5.95","69815"
"UPCL","2022-04-17","276.9","278","263","264","-2.94","61034"
"UPCL","2022-04-13","270","280","266","272","0.18","55321"
"UPCL","2022-04-12","285","289","269","271.5","-3.04","57855"
"UPCL","2022-04-11","291.7","300","277","280","-2.10","89880"
"UPCL","2022-04-07","285","294.9","282","286","0.74","74490"
"UPCL","2022-04-06","290","299","281","283.9","-2.10","60152"
"UPCL","2022-04-05","297","300","290","290","-3.33","98645"
"UPCL","2022-04-04","305","306","297.1","300","-0.66","68866"
"UPCL","2022-04-03","303","310","299","302","-0.33","44911"
"UPCL","2022-03-31","320","320","302","303","-3.81","62167"
"UPCL","2022-03-30","310","315","300.1","315","3.62","84871"
"UPCL","2022-03-29","304","309.9","300.1","304","0.20","72312"
"UPCL","2022-03-28","310","313","300","303.4","-0.85","99030"
"UPCL","2022-03-27","319","319.5","305.2","306","-4.08","100488"
"UPCL","2022-03-24","329","329","318","319","-2.06","68981"
"UPCL","2022-03-23","328","332","325","325.7","-1.30","70424"
"UPCL","2022-03-22","339.9","340","327","330","-1.49","87066"
"UPCL","2022-03-21","322.1","338","318","335","4.36","94159"
"UPCL","2022-03-20","330","330.4","318.1","321","-0.93","71152"
"UPCL","2022-03-16","336","336","321","324","-1.82","72992"
"UPCL","2022-03-15","339.9","339.9","326","330","-0.99","70812"
"UPCL","2022-03-14","338","344","331.3","333.3","-1.39","49698"
"UPCL","2022-03-13","332","347","328","338","3.36","179548"
"UPCL","2022-03-10","303.9","329","299.1","327","7.92","140150"
"UPCL","2022-03-09","316","321.8","302.9","303","-4.42","129381"
"UPCL","2022-03-07","334","334","315.1","317","-3.35","118133"
"UPCL","2022-03-06","344","345","325.4","328","-3.81","172405"
"UPCL","2022-03-02","360","360","340","341","-5.49","148910"
"UPCL","2022-02-28","382.5","393","360.1","360.8","-3.79","298533"
"UPCL","2022-02-27","357","385","344","375","3.02","563965"
"UPCL","2022-02-24","393.7","393.7","360","364","-5.70","95968"
