"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"USLB","2022-05-05","1310","1330","1225","1259","-2.02","1029"
"USLB","2022-05-04","1280","1285","1280","1285","-1.53","39"
"USLB","2022-05-02","1315.2","1315.2","1295","1305","-2.76","406"
"USLB","2022-04-28","1350","1350","1342","1342","0.00","144"
"USLB","2022-04-27","1334","1342","1334","1342","0.56","272"
"USLB","2022-04-26","1360","1371","1318.2","1334.5","-0.78","248"
"USLB","2022-04-25","1345","1351.1","1345","1345","-1.97","138"
"USLB","2022-04-24","1294","1372","1294","1372","3.94","519"
"USLB","2022-04-21","1289","1320","1289","1320","0.38","72"
"USLB","2022-04-20","1350","1350","1315","1315","-4.36","116"
"USLB","2022-04-19","1334","1375","1332.8","1375","1.10","330"
"USLB","2022-04-18","1364","1390.1","1314","1360","-0.29","284"
"USLB","2022-04-17","1320","1364","1311.1","1364","3.33","59"
"USLB","2022-04-13","1301","1320","1301","1320","1.46","128"
"USLB","2022-04-12","1320","1320","1300","1301","-1.44","224"
"USLB","2022-04-11","1347.4","1374.3","1320","1320","-0.08","246"
"USLB","2022-04-07","1320","1335","1300","1321","0.38","189"
"USLB","2022-04-06","1340","1340","1315","1316","-2.66","286"
"USLB","2022-04-05","1365","1365","1339","1352","-2.73","240"
"USLB","2022-04-04","1381","1401","1381","1390","0.35","134"
"USLB","2022-04-03","1410","1410","1383","1385.2","-1.76","94"
"USLB","2022-03-31","1396","1410","1396","1410","0.21","158"
"USLB","2022-03-30","1400","1407","1380","1407","1.96","164"
"USLB","2022-03-29","1396","1400","1377","1380","-1.15","187"
"USLB","2022-03-28","1440","1445","1396","1396","-2.04","744"
"USLB","2022-03-27","1435","1445","1425","1425","-0.43","229"
"USLB","2022-03-24","1431.1","1431.1","1431.1","1431.1","-1.04","10"
"USLB","2022-03-23","1480","1480","1440","1446.1","-2.29","287"
"USLB","2022-03-22","1455.2","1484.3","1455.2","1480","0.82","180"
"USLB","2022-03-21","1490","1490","1461","1468","-0.81","117"
"USLB","2022-03-20","1461.1","1480.1","1461","1480","-0.67","324"
"USLB","2022-03-16","1495","1495","1470","1490","0.00","81"
"USLB","2022-03-15","1515","1515","1485","1490","-1.65","203"
"USLB","2022-03-13","1456.5","1516","1456.5","1515","6.07","684"
"USLB","2022-03-10","1375","1430.5","1375","1428.3","3.88","518"
"USLB","2022-03-09","1399","1402","1375","1375","-1.08","236"
"USLB","2022-03-07","1435","1435","1387","1390","-1.25","579"
"USLB","2022-03-06","1423","1425","1380","1407.6","-1.08","742"
"USLB","2022-03-02","1451","1458","1423","1423","-3.85","760"
"USLB","2022-02-28","1499.4","1499.4","1469.5","1480","-3.27","102"
"USLB","2022-02-27","1530","1530","1530","1530","1.53","10"
"USLB","2022-02-24","1505","1510","1485","1507","0.13","455"
"USLB","2022-02-23","1512","1520","1501","1505","-0.46","93"
"USLB","2022-02-22","1544","1544","1509.2","1512","-0.13","108"
"USLB","2022-02-21","1515.6","1530","1486.1","1514","1.88","410"
"USLB","2022-02-20","1477","1498","1477","1486","-1.26","157"
"USLB","2022-02-17","1494","1523","1494","1505","-0.99","159"
"USLB","2022-02-16","1545","1545","1520","1520","-1.30","161"
"USLB","2022-02-15","1495","1540","1485","1540","3.01","475"
"USLB","2022-02-14","1500","1525","1490","1495","-1.52","930"
"USLB","2022-02-13","1550","1550","1515.1","1518","-3.86","663"
"USLB","2022-02-10","1566","1587","1566","1579","-0.13","192"
"USLB","2022-02-09","1605","1606","1581","1581","-1.19","244"
"USLB","2022-02-08","1610","1610","1600","1600","0.00","50"
"USLB","2022-02-07","1600","1620","1600","1605","0.00","264"
"USLB","2022-02-06","1625","1630","1605","1605","-1.89","525"
"USLB","2022-02-03","1698","1698","1635","1636","-1.74","344"
"USLB","2022-02-01","1650","1665","1650","1665","1.52","968"
"USLB","2022-01-31","1693.2","1761","1630","1640","-1.20","1033"
"USLB","2022-01-30","1622.8","1660","1622","1660","4.34","875"
"USLB","2022-01-27","1599.9","1600","1566","1591","-0.31","1406"
"USLB","2022-01-26","1600","1600","1568","1596","-0.25","467"
"USLB","2022-01-25","1603","1635","1590","1600","-2.14","2723"
"USLB","2022-01-24","1690","1690","1631","1635","-3.76","476"
"USLB","2022-01-23","1695","1700","1635.1","1698.8","1.85","995"
