"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"VLBS","2022-05-05","1031","1035","1028.1","1034.9","-1.34","251"
"VLBS","2022-05-04","1050","1071","1048.9","1049","1.75","175"
"VLBS","2022-05-02","1076","1076.1","1030","1031","-2.27","604"
"VLBS","2022-04-28","1086","1090","1054","1055","-2.85","2424"
"VLBS","2022-04-27","1085","1096","1076","1086","-0.91","281"
"VLBS","2022-04-26","1120.9","1131","1096","1096","-1.35","229"
"VLBS","2022-04-25","1150","1150","1111","1111","-1.77","350"
"VLBS","2022-04-24","1070","1131","1070","1131","5.21","942"
"VLBS","2022-04-21","1080","1089","1060","1075","-1.40","420"
"VLBS","2022-04-20","1110","1110","1047.7","1090.3","0.03","2661"
"VLBS","2022-04-19","1080","1112","1050","1090","0.93","1514"
"VLBS","2022-04-18","1100","1100","1078","1080","-1.82","133"
"VLBS","2022-04-17","1118","1140.3","1100","1100","-1.61","343"
"VLBS","2022-04-13","1132","1139.3","1115","1118","-1.24","564"
"VLBS","2022-04-12","1094","1132","1056","1132","1.76","1634"
"VLBS","2022-04-11","1130","1152","1110","1112.4","-3.02","655"
"VLBS","2022-04-07","1113.1","1147","1113","1147","1.50","346"
"VLBS","2022-04-06","1130","1138","1119","1130","-0.96","260"
"VLBS","2022-04-05","1161.3","1161.3","1119.2","1141","-3.71","1724"
"VLBS","2022-04-04","1185","1185","1185","1185","0.00","1"
"VLBS","2022-04-03","1186.5","1186.5","1185","1185","-1.90","264"
"VLBS","2022-03-31","1190","1210","1190","1208","-0.49","393"
"VLBS","2022-03-30","1198","1220","1195","1214","2.79","696"
"VLBS","2022-03-29","1179","1183","1179","1181","-1.17","635"
"VLBS","2022-03-28","1225","1225","1181","1195","-2.05","565"
"VLBS","2022-03-27","1218","1220","1218","1220","-1.77","169"
"VLBS","2022-03-24","1240","1250","1240","1242","0.16","224"
"VLBS","2022-03-23","1240","1254","1240","1240","0.00","207"
"VLBS","2022-03-22","1248","1248","1231","1240","-0.64","176"
"VLBS","2022-03-21","1242","1248","1242","1248","0.32","213"
"VLBS","2022-03-20","1240","1244","1193.7","1244","0.32","765"
"VLBS","2022-03-16","1232","1240","1221","1240","0.00","936"
"VLBS","2022-03-15","1278","1278","1240","1240","-1.20","1043"
"VLBS","2022-03-14","1275","1294","1250","1255","-1.57","264"
"VLBS","2022-03-13","1271","1275","1245","1275","1.84","1906"
"VLBS","2022-03-10","1140.1","1252","1140.1","1252","7.84","1236"
"VLBS","2022-03-09","1180","1183","1161","1161","-2.44","232"
"VLBS","2022-03-07","1225","1225","1190","1190","-0.92","2151"
"VLBS","2022-03-06","1245","1245","1201","1201","-1.98","843"
"VLBS","2022-03-02","1225","1230","1223","1225.2","-1.83","392"
"VLBS","2022-02-28","1241","1260","1236","1248","0.65","645"
"VLBS","2022-02-27","1236","1255","1227","1240","-1.59","297"
"VLBS","2022-02-24","1248","1260","1241","1260","-0.94","820"
"VLBS","2022-02-23","1281","1295.4","1270","1272","-0.63","220"
"VLBS","2022-02-22","1260","1300","1260","1280.1","1.49","304"
"VLBS","2022-02-21","1255","1280","1255","1261.3","-0.45","483"
"VLBS","2022-02-20","1282","1282","1267","1267","-2.91","564"
"VLBS","2022-02-17","1294.6","1320","1294.6","1305","-1.21","382"
"VLBS","2022-02-16","1387","1387","1320","1321","-2.87","220"
"VLBS","2022-02-15","1285.4","1370","1277","1360","6.25","1543"
"VLBS","2022-02-14","1280","1280","1255","1280","0.00","1495"
"VLBS","2022-02-13","1329","1329","1260","1280","-3.90","2048"
"VLBS","2022-02-10","1350","1364","1331","1332","-1.31","617"
"VLBS","2022-02-09","1377","1377","1349.6","1349.7","-1.98","163"
"VLBS","2022-02-08","1398.5","1405","1350","1377","0.00","907"
"VLBS","2022-02-07","1335","1375","1335","1375","1.10","338"
"VLBS","2022-02-06","1371","1375","1337","1360","-2.51","2320"
"VLBS","2022-02-03","1400","1445","1361.1","1395","-1.97","1535"
"VLBS","2022-02-01","1400","1423","1375","1423","1.64","1681"
"VLBS","2022-01-31","1390","1402","1372","1400","1.82","376"
"VLBS","2022-01-30","1357.6","1384","1357.6","1375","3.31","1388"
"VLBS","2022-01-27","1346","1359","1331","1331","-1.79","755"
"VLBS","2022-01-26","1390","1390","1340","1355.2","-2.43","725"
"VLBS","2022-01-25","1357","1400","1357","1389","0.36","495"
"VLBS","2022-01-24","1410","1411.6","1381","1384","-3.22","1750"
"VLBS","2022-01-23","1453.5","1475","1421.2","1430","-1.17","206"
"VLBS","2022-01-20","1454","1454","1401.5","1447","1.40","1044"
"VLBS","2022-01-19","1484","1484","1421","1427","-2.19","1232"
"VLBS","2022-01-18","1475","1475","1426","1459","-1.42","2572"
"VLBS","2022-01-17","1485.3","1499","1445.1","1480","-0.94","3463"
"VLBS","2022-01-16","1455","1500","1468.1","1494","2.68","5080"
"VLBS","2022-01-13","1419","1455","1391","1455","4.53","2682"
"VLBS","2022-01-12","1401.5","1487.7","1392","1392","-2.66","6632"
"VLBS","2022-01-11","1360","1436","1350","1430","5.15","5970"
"VLBS","2022-01-10","1350","1360","1336","1360","0.67","992"
"VLBS","2022-01-09","1362","1389.2","1336","1351","1.12","2898"
"VLBS","2022-01-06","1330","1348","1330","1336","1.06","463"
"VLBS","2022-01-05","1399","1399","1322","1322","-4.55","2333"
"VLBS","2022-01-04","1355","1400","1327.9","1385","4.14","4111"
"VLBS","2022-01-04","1355","1400","1327.9","1375","3.38","200"
"VLBS","2022-01-03","1290","1346","1290","1330","4.72","5810"
"VLBS","2022-01-02","1266.8","1347","1260","1270","2.25","1429"
"VLBS","2021-12-29","1248","1255","1240","1242","-0.48","968"
"VLBS","2021-12-28","1270","1270","1247","1248","-1.73","307"
"VLBS","2021-12-27","1297.6","1323","1266","1270","-0.17","1599"
"VLBS","2021-12-26","1505","1540","1505","1527","3.46","4954"
"VLBS","2021-12-23","1450","1480","1450","1476","2.36","881"
"VLBS","2021-12-22","1407.6","1473","1407.6","1442","4.49","1894"
"VLBS","2021-12-21","1356","1382","1354","1380","3.76","1644"
"VLBS","2021-12-20","1320","1330","1315","1330","0.76","688"
"VLBS","2021-12-16","1350","1350","1320","1320","-3.65","451"
"VLBS","2021-12-15","1350","1399.3","1345","1370","1.03","1541"
"VLBS","2021-12-14","1300","1379.5","1300","1356","6.35","778"
"VLBS","2021-12-13","1314","1314","1262","1275","-4.84","2765"
"VLBS","2021-12-12","1400","1400","1320","1339.8","-3.96","467"
"VLBS","2021-12-09","1343","1395","1341","1395","1.82","778"
"VLBS","2021-12-08","1430","1430","1355","1370","-2.84","845"
"VLBS","2021-12-07","1425.9","1452.9","1398","1410","0.86","425"
"VLBS","2021-12-06","1432","1432","1324","1398","-0.43","2451"
"VLBS","2021-12-05","1459.9","1460","1400","1404.1","-3.85","1540"
"VLBS","2021-12-02","1470","1480","1460.3","1460.3","-1.99","909"
