"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"WOMI","2021-08-31","1630","1650","1600","1609","-1.89","6296"
"WOMI","2021-08-29","1670","1670","1636","1640","-1.20","3565"
"WOMI","2021-08-26","1671","1706","1660","1660","-1.48","4964"
"WOMI","2021-08-25","1690","1700","1660","1684.9","-0.65","5422"
"WOMI","2021-08-24","1695","1725","1695","1696","-1.11","5439"
"WOMI","2021-08-19","1700","1740","1700","1715","-0.12","6073"
"WOMI","2021-08-18","1700","1750","1695","1717","-0.46","8426"
"WOMI","2021-08-17","1760","1760","1711","1725","-1.43","6043"
"WOMI","2021-08-16","1780","1812","1750","1750","-1.49","5524"
"WOMI","2021-08-15","1735","1803","1721","1776.5","2.39","10252"
"WOMI","2021-08-12","1745","1765","1730","1735","-0.57","6421"
"WOMI","2021-08-11","1769","1771","1730","1745","-1.31","6153"
"WOMI","2021-08-10","1720","1795","1705.2","1768.2","1.62","7752"
"WOMI","2021-08-09","1743","1749","1730","1740","-0.85","4181"
"WOMI","2021-08-08","1800","1800","1740","1755","-2.50","11546"
"WOMI","2021-08-05","1890","1890","1795","1800","-3.07","17225"
"WOMI","2021-08-04","1887","2000","1855","1857","0.38","41925"
"WOMI","2021-08-03","1759.5","1850","1745.1","1850","7.25","45066"
"WOMI","2021-08-02","1708.5","1776.8","1702","1725","2.99","30198"
"WOMI","2021-08-01","1707","1710","1672","1675","0.06","4118"
"WOMI","2021-07-29","1681","1690","1665.1","1674","0.06","3774"
"WOMI","2021-07-28","1665","1680","1665","1673","0.45","3229"
"WOMI","2021-07-27","1670.9","1699.5","1635","1665.5","-2.32","9285"
"WOMI","2021-07-26","1685","1720","1685","1705","1.85","16483"
"WOMI","2021-07-25","1695","1701","1668.1","1674","0.36","7743"
"WOMI","2021-07-22","1690","1695","1668","1668","-1.13","4306"
"WOMI","2021-07-20","1675","1700","1667","1687","-0.24","2516"
"WOMI","2021-07-19","1680","1728","1680","1691","0.96","11396"
"WOMI","2021-07-18","1630","1675","1630","1674.9","3.39","8473"
"WOMI","2021-07-15","1610","1621","1598","1620","0.62","3515"
"WOMI","2021-07-14","1600","1640","1600","1610","-0.74","3075"
"WOMI","2021-07-13","1610","1640","1610","1622","0.75","2716"
"WOMI","2021-07-12","1641","1672","1597","1610","-1.83","7438"
"WOMI","2021-07-11","1610","1641","1610","1640","3.34","8651"
"WOMI","2021-07-08","1540","1588","1540","1587","1.73","4295"
"WOMI","2021-07-07","1550","1570","1532","1560","-0.64","4198"
"WOMI","2021-07-06","1536","1570","1536","1570","1.95","2783"
"WOMI","2021-07-05","1552","1560","1533","1540","-0.77","2747"
"WOMI","2021-07-04","1578","1590","1551","1552","-1.65","3833"
"WOMI","2021-07-01","1586","1591","1576","1578","-0.32","3217"
"WOMI","2021-06-30","1582","1608","1561","1583","-0.44","4472"
"WOMI","2021-06-29","1608","1640","1590","1590","0.82","7526"
"WOMI","2021-06-28","1596","1620","1550","1577","0.77","7420"
"WOMI","2021-06-27","1541","1649","1540","1565","0.97","4191"
"WOMI","2021-06-24","1571","1571","1540","1550","-1.34","5900"
"WOMI","2021-06-23","1625","1625","1569","1571","-2.12","4832"
"WOMI","2021-06-22","1620","1620","1590","1605","0.94","5130"
"WOMI","2021-06-21","1627","1657","1586","1590","-2.21","8495"
"WOMI","2021-06-20","1685","1685","1620","1626","-1.69","13334"
"WOMI","2021-06-17","1693","1693","1640","1654","-0.36","5842"
"WOMI","2021-06-16","1610","1730","1610","1660","3.30","19457"
"WOMI","2021-06-15","1611","1628","1607","1607","-0.74","8404"
"WOMI","2021-06-14","1700","1700","1605","1619","-0.06","6725"
"WOMI","2021-06-13","1640","1700","1616","1620","-0.06","7840"
"WOMI","2021-06-10","1622","1630","1610","1621","-0.06","9325"
"WOMI","2021-06-09","1649","1655","1619","1622","-0.00","7443"
"WOMI","2021-06-08","1650","1650","1610","1625","-0.18","7618"
"WOMI","2021-06-07","1643","1650","1628","1628","-0.91","4196"
"WOMI","2021-06-06","1670","1677","1630","1643","-0.12","6025"
"WOMI","2021-06-03","1630","1660","1630","1645","0.80","6745"
"WOMI","2021-06-02","1626","1645","1600","1632","0.37","6053"
"WOMI","2021-06-01","1600","1645","1600","1626","0.56","6634"
"WOMI","2021-05-31","1615","1652","1610","1617","-1.10","10670"
"WOMI","2021-05-30","1651","1680","1625","1635","0.06","13302"
"WOMI","2021-05-27","1622","1700","1580","1634","-4.28","29205"
"WOMI","2021-05-25","1710","1720","1706","1707","-0.18","4317"
"WOMI","2021-05-24","1744","1744","1699","1710","0.00","7657"
"WOMI","2021-05-23","1690","1720","1690","1710","-0.06","7117"
"WOMI","2021-05-20","1730","1735","1705","1711","-1.04","6425"
"WOMI","2021-05-19","1760","1764","1715","1729","-1.31","8898"
"WOMI","2021-05-18","1715","1752","1711","1752","2.22","16655"
"WOMI","2021-05-17","1721","1748","1710","1714","-0.17","4873"
"WOMI","2021-05-16","1724","1750","1700","1717","1.36","5440"
"WOMI","2021-05-13","1694","1719","1690","1694","0.00","4781"
"WOMI","2021-05-12","1712","1739","1690","1694","-0.94","4376"
"WOMI","2021-05-11","1616","1729","1616","1710","0.65","5670"
"WOMI","2021-05-10","1661","1709","1661","1699","0.77","5411"
"WOMI","2021-05-09","1680","1700","1680","1686","-1.58","10"
"WOMI","2021-05-06","1736","1736","1706","1713","-1.32","8660"
"WOMI","2021-05-05","1740","1786","1706","1736","0.99","22108"
"WOMI","2021-05-04","1680","1732","1670","1719","1.72","16000"
"WOMI","2021-05-03","1700","1732","1681","1690","-0.53","8481"
"WOMI","2021-05-02","1680","1712","1670","1699","1.49","14678"
"WOMI","2021-04-29","1657","1680","1638","1674","1.76","8861"
"WOMI","2021-04-28","1739","1739","1644","1645","-2.66","10550"
"WOMI","2021-04-27","1647","1700","1628","1690","4.64","13474"
"WOMI","2021-04-26","1637","1670","1612","1615","-3.29","12386"
"WOMI","2021-04-25","1710","1715","1670","1670","-3.41","11280"
"WOMI","2021-04-22","1700","1734","1685","1729","1.11","11220"
"WOMI","2021-04-21","1760","1760","1705","1710","-1.61","8347"
"WOMI","2021-04-20","1759","1764","1707","1738","0.46","9509"
"WOMI","2021-04-19","1742","1788","1730","1730","-2.04","14534"
"WOMI","2021-04-18","1800","1800","1765","1766","-1.67","14164"
"WOMI","2021-04-15","1820","1820","1790","1796","-0.50","13885"
"WOMI","2021-04-13","1915","1915","1801","1805","-1.04","18540"
"WOMI","2021-04-12","1858","1865","1817","1824","0.83","29321"
"WOMI","2021-04-08","1896","1896","1784","1809","0.17","26838"
"WOMI","2021-04-07","1914","2005","1780","1806","-0.93","98579"
"WOMI","2021-04-06","1691","1823","1691","1823","9.95","22996"
"WOMI","2021-04-05","1538","1658","1538","1658","9.95","2156"
"WOMI","2021-04-04","1439","1508","1439","1508","9.99","155"
"WOMI","2021-04-01","1271","1371","1271","1371","9.94","848"
"WOMI","2021-03-31","1156","1247","1156","1247","9.96","245"
"WOMI","2021-03-30","1051","1134","1051","1134","9.99","500"
"WOMI","2021-03-29","992","1031","992","1031","5.96","61"
"WOMI","2021-03-25","902","973","902","973","9.94","77"
"WOMI","2021-03-24","835","885","835","885","8.06","41"
"WOMI","2021-03-23","759","819","759","819","9.93","405"
"WOMI","2021-03-22","717","745","717","745","5.97","34"
"WOMI","2020-09-10","915","951","903","914","1.78","4308"
"WOMI","2020-09-09","890","905","884","898","1.58","6551"
"WOMI","2020-09-08","870","885","866","884","0.91","2434"
"WOMI","2020-09-07","880","889","870","876","-0.79","4444"
"WOMI","2020-09-06","900","905","882","883","-0.79","4001"
"WOMI","2020-09-03","876","905","876","890","0.00","1089"
"WOMI","2020-09-02","916","934","890","890","-1.11","3504"
"WOMI","2020-08-31","905","905","897","900","0.45","3436"
"WOMI","2020-08-30","909","927","896","896","-1.43","820"
"WOMI","2020-08-27","910","914","901","909","-0.11","2037"
"WOMI","2020-08-26","918","918","901","910","1.11","4599"
"WOMI","2020-08-25","907","924","890","900","1.12","2704"
"WOMI","2020-08-24","863","900","863","890","3.01","2200"
"WOMI","2020-08-23","850","868","850","864","0.47","1797"
"WOMI","2020-08-20","850","866","850","860","0.00","996"
"WOMI","2020-08-19","863","864","855","860","-1.49","3336"
"WOMI","2020-08-18","860","876","859","873","1.51","1011"
"WOMI","2020-08-17","864","865","855","860","-0.46","3128"
"WOMI","2020-08-16","882","882","845","864","-4.00","5455"
"WOMI","2020-08-13","890","904","882","900","0.45","4662"
"WOMI","2020-08-12","897","911","880","896","-1.54","3743"
"WOMI","2020-08-11","935","935","910","910","-2.57","1305"
"WOMI","2020-08-10","901","946","883","934","4.47","7132"
"WOMI","2020-08-09","885","894","872","894","1.59","3057"
"WOMI","2020-08-06","871","885","870","880","0.34","1461"
"WOMI","2020-08-05","898","898","872","881","-1.67","3048"
"WOMI","2020-08-03","882","916","882","896","-0.33","2255"
"WOMI","2020-08-02","940","943","899","899","-4.36","6728"
"WOMI","2020-07-30","941","966","923","940","-0.11","3260"
"WOMI","2020-07-29","985","985","941","941","-4.37","4168"
"WOMI","2020-07-28","980","994","974","984","-0.10","2393"
"WOMI","2020-07-27","1002","1022","980","985","0.00","3256"
"WOMI","2020-07-26","970","1013","966","985","1.03","2395"
"WOMI","2020-07-23","980","984","958","975","1.35","2791"
"WOMI","2020-07-22","980","995","962","962","-1.33","2587"
"WOMI","2020-07-21","990","1000","975","975","-2.21","3382"
"WOMI","2020-07-20","1080","1102","990","997","-5.94","2700"
"WOMI","2020-07-19","1000","1060","1000","1060","6.00","237"
"WOMI","2020-07-16","1002","1006","996","1000","-0.10","2399"
"WOMI","2020-07-15","1022","1022","1000","1001","-2.05","3819"
"WOMI","2020-07-14","1012","1022","1012","1022","0.20","4019"
"WOMI","2020-07-13","1020","1040","1015","1020","-1.16","4631"
"WOMI","2020-07-12","962","1038","962","1032","9.32","10947"
"WOMI","2020-07-09","876","944","876","944","9.90","632"
"WOMI","2020-03-16","843","846","827","846","-1.63","1469"
"WOMI","2020-03-15","873","907","849","860","0.47","17705"
"WOMI","2020-03-12","1101","1155","1050","1070","-0.93","43213"
"WOMI","2020-03-11","990","1085","980","1080","8.65","12877"
"WOMI","2020-03-10","1050","1080","994","994","-5.42","5515"
"WOMI","2020-03-05","1015","1114","957","1051","1.55","11238"
"WOMI","2020-03-04","1115","1137","1035","1035","-8.57","20797"
"WOMI","2020-03-03","1181","1203","1063","1132","-4.15","28009"
"WOMI","2020-03-02","1301","1301","1181","1181","-6.27","18964"
"WOMI","2020-03-01","1350","1377","1243","1260","-6.67","28830"
"WOMI","2020-02-27","1235","1358","1190","1350","9.31","23670"
"WOMI","2020-02-26","1224","1260","1204","1235","2.92","21486"
"WOMI","2020-02-25","1160","1208","1119","1200","1.52","11817"
"WOMI","2020-02-24","1187","1200","1167","1182","-0.42","9122"
"WOMI","2020-02-23","1203","1226","1180","1187","0.59","16575"
"WOMI","2020-02-20","1122","1190","1125","1180","5.17","13275"
"WOMI","2020-02-19","1094","1126","1085","1122","2.00","9038"
"WOMI","2020-02-18","1120","1120","1060","1100","-1.17","8093"
"WOMI","2020-02-17","1118","1135","1105","1113","-0.27","12366"
"WOMI","2020-02-16","1097","1119","1080","1116","2.48","17018"
"WOMI","2020-02-13","1040","1110","1040","1089","5.52","23350"
"WOMI","2020-02-12","1028","1034","1015","1032","1.67","9288"
"WOMI","2020-02-11","1020","1030","1008","1015","0.69","11965"
"WOMI","2020-02-10","990","1017","990","1008","2.86","6528"
"WOMI","2020-02-09","990","999","980","980","-1.80","5403"
"WOMI","2020-02-06","1000","1020","980","998","-0.20","7402"
"WOMI","2020-02-05","995","1003","986","1000","-0.50","2183"
"WOMI","2020-02-04","1000","1013","991","1005","-1.18","4298"
"WOMI","2020-02-03","1033","1033","1000","1017","-1.55","8136"
"WOMI","2020-02-02","1000","1049","995","1033","3.40","15167"
"WOMI","2020-01-30","990","1014","980","999","1.83","19331"
"WOMI","2020-01-29","966","982","957","981","0.72","12037"
"WOMI","2020-01-28","963","974","956","974","1.14","12161"
"WOMI","2020-01-27","925","963","925","963","3.88","7396"
"WOMI","2020-01-26","941","942","925","925","-1.70","6520"
"WOMI","2020-01-23","966","973","941","941","-0.95","7862"
"WOMI","2020-01-22","969","970","945","950","-1.04","2404"
"WOMI","2020-01-21","967","967","937","960","1.05","7554"
"WOMI","2020-01-20","989","989","940","950","-2.06","8473"
"WOMI","2020-01-19","980","1008","970","970","-1.02","12612"
"WOMI","2020-01-16","978","983","954","980","2.19","18726"
"WOMI","2020-01-15","929","963","929","959","1.37","11061"
"WOMI","2020-01-14","949","960","910","946","-0.42","10967"
"WOMI","2020-01-13","960","998","925","950","0.74","22975"
"WOMI","2020-01-12","906","949","900","943","5.84","28133"
"WOMI","2020-01-09","879","900","878","891","-0.45","19312"
"WOMI","2020-01-08","832","897","832","895","9.68","81380"
"WOMI","2020-01-07","745","816","745","816","9.97","8658"
"WOMI","2020-01-06","688","742","688","742","9.93","1181"
"WOMI","2020-01-05","626","675","626","675","9.93","116"
"WOMI","2019-03-07","1097","1119","1065","1116","-0.27","1853"
"WOMI","2019-03-06","1080","1119","1080","1119","1.73","1519"
"WOMI","2019-03-05","1115","1115","1080","1100","0.36","352"
"WOMI","2019-03-03","1118","1118","1096","1096","-1.97","185"
"WOMI","2019-02-27","1100","1122","1100","1118","-0.36","368"
"WOMI","2019-02-26","1120","1123","1101","1122","-0.09","894"
"WOMI","2019-02-25","1112","1123","1107","1123","1.45","349"
"WOMI","2019-02-24","1134","1157","1105","1107","-4.32","472"
"WOMI","2019-02-21","1181","1228","1157","1157","2.84","100"
"WOMI","2019-02-20","1125","1132","1106","1125","-0.62","745"
"WOMI","2019-02-19","1139","1139","1102","1132","1.34","709"
"WOMI","2019-02-18","1082","1117","1095","1117","1.18","331"
"WOMI","2019-02-17","1103","1110","1103","1104","-0.54","715"
"WOMI","2019-02-14","1120","1124","1102","1110","-1.24","1549"
"WOMI","2019-02-13","1122","1130","1120","1124","0.27","255"
"WOMI","2019-02-12","1142","1142","1113","1121","0.09","1365"
"WOMI","2019-02-10","1148","1155","1120","1120","-2.44","1650"
"WOMI","2019-02-07","1127","1149","1125","1148","1.06","1964"
"WOMI","2019-02-06","1143","1159","1136","1136","-1.98","1016"
